date,firm,n,sd,source,DK,Egyuett,FideszKDNP,Jobbik,LMP,MSZP,MKKP,MM,MH
2014-04-29,Medián,NA,NA,NA,2,4,56,17,4,14,,,
2014-05-08,Nézőpont,NA,NA,NA,4,10,46,15,10,15,,,
2014-05-13,Ipsos,NA,NA,NA,4,3,56,17,3,16,,,
2014-05-15,Tárki,NA,NA,NA,4,3,55,16,4,15,,,
2014-05-18,Nézőpont,NA,NA,NA,6,6,46,15,8,17,,,
2014-06-13,Ipsos,NA,NA,NA,6,4,57,18,4,10,,,
2014-06-17,Tárki,NA,NA,NA,6,4,56,15,4,16,,,
2014-06-18,Nézőpont,NA,NA,NA,7,6,47,19,7,14,,,
2014-07-18,Iránytű,NA,NA,NA,7,6,51,19,5,10,,,
2014-07-21,Ipsos,NA,NA,NA,3,3,56,16,4,15,,,
2014-07-22,Tárki,NA,NA,NA,4,6,55,16,3,15,,,
2014-07-24,Nézőpont,NA,NA,NA,8,6,41,23,8,13,,,
2014-07-25,Századvég,NA,NA,NA,7,4,53,18,4,12,,,
2014-08-12,Ipsos,NA,NA,NA,5,3,49,19,3,18,,,
2014-08-30,Nézőpont,NA,NA,NA,8,4,42,26,9,11,,,
2014-09-14,Ipsos,NA,NA,NA,4,3,56,17,4,16,,,
2014-09-17,Tárki,NA,NA,NA,6,3,54,15,4,18,,,
2014-09-23,Medián,NA,NA,NA,4,6,50,21,3,15,,,
2014-09-25,Századvég,NA,NA,NA,6,3,54,17,3,15,,,
2014-09-26,Nézőpont,NA,NA,NA,12,5,45,20,6,12,,,
2014-10-07,Ipsos,NA,NA,NA,5,3,55,16,4,15,,,
2014-10-20,Tárki,NA,NA,NA,5,2,55,17,3,16,,,
2014-11-07,Nézőpont,NA,NA,NA,11,4,40,26,8,9,,,
2014-11-17,Ipsos,NA,NA,NA,2,2,48,21,6,15,,,
2014-11-23,Tárki,NA,NA,NA,5,3,45,21,5,20,,,
2014-12-02,Medián,NA,NA,NA,6,2,38,27,4,19,,,
2014-12-08,Ipsos,NA,NA,NA,4,1,45,24,5,18,,,
2014-12-16,Nézőpont,NA,NA,NA,9,4,40,24,8,12,,,
2014-12-20,Századvég,NA,NA,NA,4,4,44,22,6,17,,,
2015-01-10,Ipsos,NA,NA,NA,3,1,44,24,6,19,,,
2015-01-18,Iránytű,NA,NA,NA,8,4,39,24,7,15,,,
2015-01-20,Századvég,NA,NA,NA,4,2,45,24,5,18,,,
2015-01-22,Tárki,NA,NA,NA,10,4,41,20,5,18,,,
2015-01-26,Nézőpont,NA,NA,NA,6,4,40,27,8,12,,,
2015-02-07,Ipsos,NA,NA,NA,6,2,40,25,5,19,,,
2015-02-10,Századvég,NA,NA,NA,4,2,45,25,4,19,,,
2015-02-11,Medián,NA,NA,NA,7,3,45,21,5,17,,,
2015-02-24,Nézőpont,NA,NA,NA,8,0,42,28,5,13,,,
2015-03-10,Századvég,NA,NA,NA,6,2,41,27,5,18,,,
2015-03-13,Ipsos,NA,NA,NA,7,1,37,28,4,19,,,
2015-03-27,Nézőpont,NA,NA,NA,12,3,44,23,7,10,,,
2015-03-31,Medián,NA,NA,NA,6,2,40,25,4,17,,,
2015-04-15,Századvég,NA,NA,NA,8,2,38,28,6,17,,,
2015-04-19,Ipsos,NA,NA,NA,6,2,38,27,7,17,,,
2015-04-23,Tárki,NA,NA,NA,9,1,38,24,5,17,,,
2015-04-25,Nézőpont,NA,NA,NA,10,3,36,28,7,13,,,
2015-05-22,Nézőpont,NA,NA,NA,10,3,39,25,7,12,,,
2015-05-31,Medián,NA,NA,NA,9,3,44,24,5,12,,,
2015-06-08,Ipsos,NA,NA,NA,9,1,38,28,5,15,,,
2015-06-11,Iránytű,NA,NA,NA,8,3,42,28,6,11,,,
2015-06-14,Századvég,NA,NA,NA,8,2,40,27,6,15,,,
2015-06-25,Nézőpont,NA,NA,NA,11,2,41,26,5,12,,,
2015-07-09,Publicus,NA,NA,NA,5,0,42,23,5,20,,,
2015-07-21,Tárki,NA,NA,NA,8,2,39,24,4,19,,,
2015-07-29,Nézőpont,NA,NA,NA,9,4,41,26,6,11,,,
2015-08-12,Publicus,NA,NA,NA,5,2,42,24,5,19,,,
2015-08-19,Nézőpont,NA,NA,NA,13,2,40,26,7,10,,,
2015-09-04,Századvég,NA,NA,NA,8,2,41,26,5,16,,,
2015-09-15,Ipsos,NA,NA,NA,7,1,41,26,5,17,,,
2015-09-15,Medián,NA,NA,NA,6,3,50,22,3,15,,,
2015-10-15,Publicus,NA,NA,NA,6,0,45,24,5,18,,,
2015-10-21,Nézőpont,NA,NA,NA,9,2,45,22,5,10,,,
2015-10-23,Tárki,NA,NA,NA,6,1,51,23,4,14,,,
2015-10-26,Iránytű,NA,NA,NA,8,2,47,25,5,10,,,
2015-11-19,Nézőpont,NA,NA,NA,7,2,48,22,6,9,,,
2015-12-01,Medián,NA,NA,NA,9,2,51,21,4,11,,,
2015-12-05,Publicus,NA,NA,NA,6,0,49,21,4,16,,,
2015-12-07,Nézőpont,NA,NA,NA,9,1,48,21,4,11,,,
2016-01-17,Publicus,NA,NA,NA,5,2,49,17,5,18,,,
2016-01-19,Nézőpont,NA,NA,NA,7,2,44,23,5,15,,,
